"Serial.."	"OMNH.Item.."	"Specimen.ID"	"Sample.ID"	"Weight..µg."	"Date.sampled"	"Notes"	"Link.to.image"	"Taxon"	"thermophysiology"	"Eva_.Sens"	"Eco"	"Element.type"	"samp_type"	"Tissue"	"Xtal.Wt..ug."	"Yield"	"X..elements.in.sample"	"Glue."	"Analysis"	"Batch.."	"Crown.Ht..mm."	"Identifier.1"	"Amount"	"Ampl.28..mV."	"Area.28..Vs."	"X.O"	"d18O..VSMOW."
108	"60427"	"60427-a"	"60427-a.2b"	375	"5/24/22"	"Good sample. 2 of 2 sites sampled on this specimen, 2 of 2 samples from site a.2. See diagram in lab notes. 5/31/22 - Ag3PO4 did not xtalize after 20 hours in oven. Returned to oven for several more hours (see lab notebook)."	NA	"Sauropoda"	"endotherm"	"ES"	"Sauropoda"	"tooth"	"serial"	"enamel"	245.1	0.6536	NA	NA	1	1.3	NA	"60427-a2b"	0.2451	1730	21.331	15.70787984	16.21993037
110	"60430"	"60430-b"	"60430-b.1"	521.8	"5/24/22"	"Thin enamel. Some dentin inevitably included. Minor amount of my fingernail included. "	NA	"Tenontosaurus tillettii"	"endotherm"	"ES"	"Ornithischian"	"tooth"	""	"enamel"	360.6	0.691069375	NA	NA	1	1.3	NA	"60430-b1"	0.36	2461	29.965	15.30043356	19.53171901
42	"60433"	"60433-a"	"60433-a.1"	574	"2/8/22"	"Mounted on glass slide with super glue."	NA	"Goniopholidae"	"ectotherm"	"EI"	"Croc G"	"tooth"	""	"enamel"	709.9	1.236759582	NA	1	1	1.1	NA	"60433-a1"	NA	4658	59.371	15.5373363	17.40248992
45	"60433"	"60433-b"	"60433-b.1"	505.7	"2/8/22"	"Mounted on glass slide with super glue."	NA	"Goniopholidae"	"ectotherm"	"EI"	"Croc G"	"tooth"	""	"enamel"	681.3	1.347241447	NA	1	1	1.1	NA	"60433-b1"	0.6813	4483	55.652	15.18747128	12.82166679
43	"60433"	"60433-c"	"60433-c.1"	410.7	"2/8/22"	"Mounted on glass slide with super glue."	NA	"Goniopholidae"	"ectotherm"	"EI"	"Croc G"	"tooth"	""	"enamel"	607.6	1.479425371	NA	1	1	1.1	NA	"60433-c1"	0.6076	4080	51.939	16.07755233	13.22586145
48	"60433"	"60433-e"	"60433-e.1"	539.8	"2/8/22"	"Mounted on glass slide with super glue."	NA	"Goniopholidae"	"ectotherm"	"EI"	"Croc G"	"tooth"	""	"enamel"	788	1.459799926	NA	1	1	1.1	NA	"60433-e1"	0.788	5285	67.473	16.19994225	10.26975838
49	"60433"	"60433-f"	"60433-f.1"	567.5	"2/8/22"	"Mounted on glass slide with super glue."	NA	"Goniopholidae"	"ectotherm"	"EI"	"Croc G"	"tooth"	""	"enamel"	694	1.222907489	NA	1	1	1.1	NA	"60433-f1"	0.694	4668	58.187	15.58632601	9.753627578
44	"60433"	"60433-g"	"60433-g.1"	513.6	"2/8/22"	"Mounted on glass slide with super glue."	NA	"Goniopholidae"	"ectotherm"	"EI"	"Croc G"	"tooth"	""	"enamel"	555.1	1.080802181	NA	1	1	1.1	NA	"60433-g1"	0.5551	3893	48.29	16.32361747	13.38731078
39	"60442"	"60442-a"	"60442-a.1"	510.2	"2/6/22"	"Largest sampled goniophilid"	NA	"Goniopholidae"	"ectotherm"	"EI"	"Croc G"	"tooth"	"serial"	"enamel"	355.2	0.69619757	NA	NA	1	1.2	NA	"60442-a1"	0.3552	2515	29.795	15.78569011	13.02709329
41	"60442"	"60442-a"	"60442-a.3"	536.2	"2/6/22"	"Largest sampled goniophilid"	NA	"Goniopholidae"	"ectotherm"	"EI"	"Croc G"	"tooth"	"serial"	"enamel"	380	0.708690787	NA	NA	1	1.3	NA	"60442-a3"	0.38	2596	31.151	15.38594822	13.06630438
133	"60444"	"60444-a"	"60444-a.1"	591.1	"9/1/22"	"Some diagenetic calcite in surface pits, but I chose a spot that had minimal calcite. "	NA	"Glyptops sp."	"ectotherm"	"EI"	"Aquatic Turtle"	"osteoscute fragment"	""	"enamel"	462	0.781593639	NA	NA	2	2.1	NA	"60444-a1"	0.462	3072	37.994	15.14090761	14.16793479
18	"60447"	"60447-a"	"60447-a.1"	375.2	"1/24/22"	""	NA	"Glyptops sp."	"ectotherm"	"EI"	"Aquatic Turtle"	"osteoscute fragment"	""	"enamel"	291.3	0.776385928	NA	NA	1	1.2	NA	"60447-a1"	0.2913	2014	25.103	15.69256729	14.42850063
NA	"60482"	"60482-a"	"60482-a-1"	NA	""	""	NA	"Sauropoda"	"endotherm"	"ES"	"Sauropoda"	""	""	""	NA	NA	NA	NA	NA	NA	NA	"60482-a4"	0.248	1744	22.983	16.42	21.1
145	"60484"	"60484-a"	"60484-a.1"	571.4	"9/2/22"	"Good sample. Some diagenetic calcite in surface pits. Likely some minor contamination from calcite."	NA	"Sauropoda"	"endotherm"	"ES"	"Sauropoda"	"tooth"	""	"enamel"	NA	0	NA	NA	2	2.1	NA	"60484-a1"	0.3223	2384	29.453	17.35302492	18.59571597
140	"61220"	"61220-a"	"61220-a.1"	597.4	"9/1/22"	"Hard to sample so small with hand. Minor amounts of diagenetic calcite included. "	NA	"Sauropoda"	"endotherm"	"ES"	"Sauropoda"	"tooth"	""	"enamel"	NA	0	NA	NA	2	2.1	NA	"61220-a1"	0.4717	3146	37.904	14.82523227	19.1076203
34	"61221"	"61221-a"	"61221-a.1"	491.7	"2/5/22"	"Crushed entire scale in clean mortar/pestle, dropped sample inside scale, gathered new sample from bulk crushed material. It is apparently not necessary to crush the whole scale. "	NA	"Lepisosteidae"	"ectotherm"	"EI"	"Fish"	"ganoid scale"	"bulk"	"ganoine"	330.5	0.67215782	NA	NA	1	1.2	NA	"61221-a1"	0.3305	2259	28.181	15.97009856	14.21929209
