OMNH Item #,Specimen ID,Sample ID,Weight (µg),Date sampled,Taxon,Element type,samp_type,Tissue,Ag3PO4_Wt (ug),CO_Yield,d18O (VSMOW)
60391,60391-a,60391-a.3a,344.4,4/28/22,Allosauroid,tooth,serial,enamel,378.7,1.099593496,14.34743249
60391,60391-a,60391-a.3b,390.7,4/28/22,Allosauroid,tooth,serial,enamel,514.9,1.317890965,14.87010363
60430,60430-b,60430-b.1,521.8,5/24/22,Ornithischians,tooth,bulk,enamel,360.6,0.691069375,19.53171901
61341,61341-a,61341-a.1,375.5,5/24/22,Ornithischians,tooth,bulk,enamel,381.3,1.015446072,17.02903048
61389,61389-a,61389-a.1,378.3,5/24/22,Ornithischians,tooth,bulk,enamel,206.9,0.546920434,14.17646587
80794,80794-a,80794-a.1,,,Ornithischians,tooth fragment,bulk,enamel,,,13.82
80794,80794-a,80794-a.2,,,Ornithischians,tooth fragment,bulk,enamel,,,13.77
80795,80795-c,80795-c.1,,,Ornithischians,,bulk,enamel,,,13.53
80795,80795-d,80795-d.1,,,Ornithischians,,bulk,enamel,,,15.74
80795,80795-d,80795-d.2,,,Ornithischians,,bulk,enamel,,,16.04
60422,60422-a,60422-a.4,580.1,9/2/22,Sauropods,tooth,bulk,enamel,,0,15.99889522
60423,60423-a,60423-a.1,535.9,9/1/22,Sauropods,tooth,bulk,enamel,239.4,0.446725135,18.99983903
60427,60427-a,60427-a.1,364,5/24/22,Sauropods,tooth,serial,enamel,518.6,1.424725275,16.78534513
60427,60427-a,60427-a.2a,427.5,5/24/22,Sauropods,tooth,serial,enamel,585.6,1.369824561,16.592688
60427,60427-a,60427-a.2b,375,5/24/22,Sauropods,tooth,serial,enamel,245.1,0.6536,16.21993037
60482,60482-a,60482-a-1,,,Sauropods,tooth,bulk,enamel,,,21.1
60482,60482-a,60482-a.5,449.1,9/1/22,Sauropods,tooth,bulk,enamel,276.3,0.615230461,22.47536934
60484,60484-a,60484-a.1,571.4,9/2/22,Sauropods,tooth,bulk,enamel,,0,18.59571597
61220,61220-a,61220-a.1,597.4,9/1/22,Sauropods,tooth,bulk,enamel,,0,19.1076203
UNCAT001,UNCAT001-a,UNCAT001-a.1,501.6,9/2/22,Sauropods,tooth,bulk,enamel,565.2,1.126794258,15.13298883
80859,80859-a,80859-a.1,,,Hybodonts,,bulk,enamel,,,10.8
80859,80859-b,80859-b.1,,,Hybodonts,,bulk,enamel,,,15.27
80859,80859-c,80859-c.1,,,Hybodonts,,bulk,enamel,,,9.77
60406,60406-a,60406-a.1,498,5/24/22,Maniraptorans,tooth,bulk,enamel,592.8,1.190361446,14.22288194
