OMNH Item,Specimen,SAMPLE ID,sample,site,Taxa,δ18Op,δ18Op-r,±1σ
DB-Acro-,DB-Acro-28,DB-Acro-28,28,lYCM,Acrocanthosaur,18.2,,0.2
DB-Acro-,DB-Acro-29,DB-Acro-29,29,lYCM,Acrocanthosaur,18,,0.2
DB-Acro-,DB-Acro-30,DB-Acro-30,30,lYCM,Acrocanthosaur,17.7,,0.2
DB-Theropod1-,DB-Theropod,DB-Theropod1-1,1,lYCM,small theropod,15.2,,0.2
DB-Theropod1-,DB-Theropod,DB-Theropod1-2,2,lYCM,small theropod,15.5,,0.2
DB-Theropod1-,DB-Theropod,DB-Theropod1-3,3,lYCM,small theropod,15.9,,0.2
DB-Theropod1-,DB-Theropod,DB-Theropod1-4,4,lYCM,small theropod,15.9,,0.2
DB-Theropod1-,DB-Theropod,DB-Theropod1-5,5,lYCM,small theropod,15.5,,0.2
DB-Theropod1-,DB-Theropod,DB-Theropod1-6,6,lYCM,small theropod,15.5,,0.2
DB-Theropod1-,DB-Theropod,DB-Theropod1-7,7,lYCM,small theropod,15.8,,0.2
DB-Theropod1-,DB-Theropod,DB-Theropod1-8,8,lYCM,small theropod,14.7,,0.2
DB-Theropod1-,DB-Theropod,DB-Theropod1-9,9,lYCM,small theropod,15.1,,0.2
DB-Theropod1-,DB-Theropod,DB-Theropod1-10,10,lYCM,small theropod,15.2,,0.2
DB-Theropod1-,DB-Theropod,DB-Theropod1-11,11,lYCM,small theropod,15.2,,0.2
DBDP-57-,DBDP-57-4,DBDP-57-4,4,lYCM,small theropod,17.5,,0.2
DBDP-57-,DBDP-57-5,DBDP-57-5,5,lYCM,small theropod,15.9,,0.2
DBDP-57-,DBDP-57-6,DBDP-57-6,6,lYCM,small theropod,16.9,,0.2
DBDP-57-,DBDP-57-1,DBDP-57-1,1,lYCM,small theropod,17.8,,0.2
DBDP-57-,DBDP-57-2,DBDP-57-2,2,lYCM,small theropod,17.8,,0.2
DBDP-57-,DBDP-57-3,DBDP-57-3,3,lYCM,small theropod,20.2,,0.2
DB-Theropod2-,DB-Theropod,DB-Theropod2-1,1,lYCM,small theropod,20.2,,0.1
DB-Theropod2-,DB-Theropod,DB-Theropod2-2,2,lYCM,small theropod,18.8,,0.1
DB-Theropod2-,DB-Theropod,DB-Theropod2-3,3,lYCM,small theropod,18.7,,0.1
DB-Theropod2-,DB-Theropod,DB-Theropod2-4,4,lYCM,small theropod,19,,0.1
DB-Theropod2-,DB-Theropod,DB-Theropod2-5,5,lYCM,small theropod,18.6,,0.1
DB-Iguano1-,DB-Iguano1-,DB-Iguano1-1,1,lYCM,Iguanodontid,15.6,,0.2
DB-Iguano1-,DB-Iguano1-,DB-Iguano1-2,2,lYCM,Iguanodontid,14.9,,0.2
DB-Iguano1-,DB-Iguano1-,DB-Iguano1-3,3,lYCM,Iguanodontid,15.3,,0.2
DB-Iguano1-,DB-Iguano1-,DB-Iguano1-4,4,lYCM,Iguanodontid,14.7,,0.2
DB-Iguano1-,DB-Iguano1-,DB-Iguano1-5,5,lYCM,Iguanodontid,14.8,,0.2
DB-Iguano1-,DB-Iguano1-,DB-Iguano1-6,6,lYCM,Iguanodontid,14.5,,0.2
DB-Iguano1-,DB-Iguano1-,DB-Iguano1-7,7,lYCM,Iguanodontid,13.8,,0.2
DB-Iguano2-,DB-Iguano2-,DB-Iguano2-1,1,lYCM,Iguanodontid,14.9,,0.2
DB-Iguano2-,DB-Iguano2-,DB-Iguano2-2,2,lYCM,Iguanodontid,15,,0.2
DB-Iguano2-,DB-Iguano2-,DB-Iguano2-3,3,lYCM,Iguanodontid,15.4,,0.2
DBDP-28-,DBDP-28-1,DBDP-28-1,1,lYCM,Iguanodontid,19.6,,0.2
DBDP-28-,DBDP-28-2,DBDP-28-2,2,lYCM,Iguanodontid,19.9,,0.2
DBDP-28-,DBDP-28-3,DBDP-28-3,3,lYCM,Iguanodontid,18.6,,0.2
DBDP-28-,DBDP-28-4,DBDP-28-4,4,lYCM,Iguanodontid,17.6,,0.2
DBDP-28-,DBDP-28-5,DBDP-28-5,5,lYCM,Iguanodontid,18,,0.2
DBDP-107a-,DBDP-107a-1,DBDP-107a-1,1,lYCM,Iguanodontid,16.7,,0.1
DBDP-107a-,DBDP-107a-2,DBDP-107a-2,2,lYCM,Iguanodontid,17,,0.1
DBDP-58-,DBDP-58-1,DBDP-58-1,1,lYCM,Iguanodontid,21.3,,0.1
DBDP-58-,DBDP-58-2,DBDP-58-2,2,lYCM,Iguanodontid,18,,0.1
DBDP-58-,DBDP-58-3,DBDP-58-3,3,lYCM,Iguanodontid,18.2,,0.1
DBDP-58-,DBDP-58-4,DBDP-58-4,4,lYCM,Iguanodontid,19.5,,0.1
DBDP-58-,DBDP-58-5,DBDP-58-5,5,lYCM,Iguanodontid,18.1,,0.1
DBSP-3-,DBSP-3-1a,DBSP-3-1a,1a,lYCM,Iguanodontid,16.8,16.81,0.1/0.2
DBSP-3-,DBSP-3-2a,DBSP-3-2a,2a,lYCM,Iguanodontid,16.2,16.21,0.1/0.2
DBSP-3-,DBSP-3-2b,DBSP-3-2b,2b,lYCM,Iguanodontid,16.7,16.74,0.1/02
DBDP-15-,DBDP-15-1,DBDP-15-1,1,lYCM,Iguanodontid,18.6,,0.2
DBDP-15-,DBDP-15-2,DBDP-15-2,2,lYCM,Iguanodontid,20.8,20.3,0.2/0.2
DBDP-15-,DBDP-15-3,DBDP-15-3,3,lYCM,Iguanodontid,20.9,21.5,0.2/0.2
DBDP-15-,DBDP-15-4,DBDP-15-4,4,lYCM,Iguanodontid,20.8,20.8,0.2/0.2
DBDP-15-,DBDP-15-5,DBDP-15-5,5,lYCM,Iguanodontid,20.9,20.9,0.2/0.2
DB-Iguano3-,DB-Iguano3-,DB-Iguano3-1,1,lYCM,Iguanodontid,20.1,,0.2
DB-Iguano3-,DB-Iguano3-,DB-Iguano3-2,2,lYCM,Iguanodontid,20.3,,0.2
DB-Iguano3-,DB-Iguano3-,DB-Iguano3-3,3,lYCM,Iguanodontid,20.6,,0.2
DB-Iguano3-,DB-Iguano3-,DB-Iguano3-4,4,lYCM,Iguanodontid,18.8,,0.2
DB-Croc1-,DB-Croc1-1,DB-Croc1-1,1,lYCM,Crocodile,18.9,,0.2
DB-Croc1-,DB-Croc1-2,DB-Croc1-2,2,lYCM,Crocodile,19.4,,0.2
DB-Croc1-,DB-Croc1-3,DB-Croc1-3,3,lYCM,Crocodile,19.6,,0.2
DB-Croc1-,DB-Croc1-5,DB-Croc1-5,5,lYCM,Crocodile,18.8,,0.2
DB-Croc1-,DB-Croc1-4,DB-Croc1-4,4,lYCM,Crocodile,18.6,,0.2
DB-Croc2-,DB-Croc2-1,DB-Croc2-1,1,lYCM,Crocodile,19,,0.1
DB-Croc2-,DB-Croc2-2,DB-Croc2-2,2,lYCM,Crocodile,19.9,,0.2
DB-Croc2-,DB-Croc2-3,DB-Croc2-3,3,lYCM,Crocodile,18.5,,0.2
DB-Croc2-,DB-Croc2-4,DB-Croc2-4,4,lYCM,Crocodile,19.7,,0.2
UMNH 16867-,UMNH 16867-,UMNH 16867-1,1,uYCM,crocodilian scute,13.3,,0.1
UMNH 16867-,UMNH 16867-,UMNH 16867-2,2,uYCM,crocodilian scute,13.3,,0.1
UMNH 16867-,UMNH 16867-,UMNH 16867-3,3,uYCM,crocodilian scute,12.5,,0.1
UMNH 16867-,UMNH 16867-,UMNH 16867-4,4,uYCM,crocodilian scute,14.1,,0.1
UMNH 16867-,UMNH 16867-,UMNH 16867-5,5,uYCM,crocodilian scute,13.7,,0.1
UMNH 16867-,UMNH 16867-,UMNH 16867-6,6,uYCM,crocodilian scute,14.1,,0.1
UMNH 16867-,UMNH 16867-,UMNH 16867-7,7,uYCM,crocodilian scute,13.3,,0.1
UMNH 16867-,UMNH 16867-,UMNH 16867-8,8,uYCM,crocodilian scute,14.1,,0.1
UMNH 16867-,UMNH 16867-,UMNH 16867-9,9,uYCM,crocodilian scute,13,,0.1
UMNH 16867-,UMNH 16867-,UMNH 16867-10,10,uYCM,crocodilian scute,14,,0.1
UMNH 16867-,UMNH 16867-,UMNH 16867-11,11,uYCM,crocodilian scute,14.1,,0.1
UMNH 16867-,UMNH 16867-,UMNH 16867-12,12,uYCM,crocodilian scute,14.3,,0.1
DMNH-55492,DMNH-55492a,DMNH-55492a4,a4,RRM,Ornithischian,15.3,,0
DMNH-55492,DMNH-55492a,DMNH-55492a5,a5,RRM,Ornithischian,14.9,,0.9
DMNH-55492,DMNH-55492a,DMNH-55492a6,a6,RRM,Ornithischian,15.8,,0.9
DMNH-55492,DMNH-55492a,DMNH-55492a7,a7,RRM,Ornithischian,15.4,,0.9
DMNH-55492,DMNH-55492b,DMNH-55492b1,b1,RRM,Ornithischian,15.3,,0
DMNH-55492,DMNH-55492b,DMNH-55492b2,b2,RRM,Ornithischian,14.4,,0
DMNH-55492,DMNH-55492b,DMNH-55492b3,b3,RRM,Ornithischian,15.3,,0
DMNH-55492,DMNH-55492c,DMNH-55492c1,c1,RRM,Ornithischian,15.1,,0
DMNH-55492,DMNH-55492c,DMNH-55492c2,c2,RRM,Ornithischian,15.6,,0.4
DMNH-55492,DMNH-55492d,DMNH-55492d1,d1,RRM,Ornithischian,14.5,,0
DMNH-55492,DMNH-55492d,DMNH-55492d2,d2,RRM,Ornithischian,14.6,,0
DMNH-55492,DMNH-55492e,DMNH-55492e1,e1,RRM,Ornithischian,14.9,,0
DMNH-55492,DMNH-55492f,DMNH-55492f1,f1,RRM,Ornithischian,14.6,,0
