"specimen","taxon","diet","eco_type","tissue","age","formation","strat_mbr","site","continent","lat","lng","paleolat","paleolng","ref","d18O","n","SD","SE"
"KTD-02","Goniopholididae indet.","C","croc","Tooth bulk","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",13.7,1,NA,NA
"KTD-03","Goniopholididae indet.","C","croc","Tooth bulk","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",12.6,1,NA,NA
"KTD-04","Theropoda indet.","C","theropod","Tooth bulk","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",13.4,1,NA,NA
"KTD-05","Sauropoda indet.","H","sauropod","Tooth bulk","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",14,1,NA,NA
"KTD-06","Iguanodontian indet.","H","ornithischian","Tooth bulk","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",13.6,1,NA,NA
"KTD-07","Testudinata indet.","","turtle indet.","Shell bone","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",12.6,1,NA,NA
"KTD-08","Testudinata indet.","","turtle indet.","Shell bone","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",12.2,1,NA,NA
"KTD-09","Testudinata indet.","","turtle indet.","Shell bone","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",11.7,1,NA,NA
"KTD-10","Lepisosteidae indet.","","freshwater fish","scale bulk","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",12.2,1,NA,NA
"KTD-11","Lepisosteidae indet.","","freshwater fish","scale bulk","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",11.5,1,NA,NA
"KTD-12","Lepisosteidae indet.","","freshwater fish","scale bulk","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",10.2,1,NA,NA
"KTD-13","Sauropoda indet.","H","sauropod","Tooth enamel","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",13.8,1,NA,NA
"KTD-14","Theropoda indet.","C","theropod","Tooth bulk","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",11.5,1,NA,NA
"KTD-15","Theropoda indet.","C","theropod","Tooth enamel","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",14,1,NA,NA
"KTD-16","Theropoda indet.","C","theropod","Tooth bulk","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",12.5,1,NA,NA
"KTD-17","Theropoda indet.","C","theropod","Tooth bulk","Early Aptian","","","Kitadani Dinosaur Quarry","Northeast Asia","36.103402","136.559744","",NA,"Amiot et al., 2021",13.8,1,NA,NA
"M-BL-013","Crocodylia","C","croc","Crocodilian osteoderm","Early Cenomanian","","","Bou Laalou","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",16.7,1,NA,NA
"M-BL-014","Chelonia","?","turtle indet.","Turtle osteoscute","Early Cenomanian","","","Bou Laalou","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",16.7,1,NA,NA
"M-BL-016","Chelonia","?","turtle indet.","Turtle osteoscute","Early Cenomanian","","","Bou Laalou","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",17.2,1,NA,NA
"M-BL-022","Carcharodontosaurus saharicus","C","theropod","Dinosaur tooth enamel","Early Cenomanian","","","Bou Laalou","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",19,1,NA,NA
"M-BL-023","Carcharodontosaurus saharicus","C","theropod","Dinosaur tooth enamel","Early Cenomanian","","","Bou Laalou","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",18.2,1,NA,NA
